"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"96","Café tabac Le Sulky","Commerce","39","Boulevard des Tribunes","Nantes Nord","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2486249344171 , -1.56854151413132]"
"49","Mairie Annexe Bottière","Mairie annexe","69","Rue de la Bottière","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2399228283493 , -1.51902266594607]"
"45","Mairie Annexe Ranzay","Mairie annexe","249","Route de Saint Joseph","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2537942509792 , -1.53042232617088]"
"46","Boulangerie","Commerce","26","Boulevard Professeur René Auvigné","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2550070477686 , -1.51770954842734]"
"63","Aux Délices de Procé","Commerce","3","Boulevard Gaston Serpette","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2245128751455 , -1.57678522108171]"
"64","Le Monselet","Commerce","3","Place Emile Sarradin","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2209463152634 , -1.57025374047389]"
"99","La Cabane à Pain","Commerce","67","Rue Hector Berlioz","Breil - Barberie","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2394706174479 , -1.57929614475175]"
"47","Mairie Annexe Doulon","Mairie annexe","37","Boulevard Louis Millet","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2271572218589 , -1.51875867919863]"
"48","Intermarché Eraudière","Commerce","173","Route de Saint Joseph","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2448582942442 , -1.53349934743558]"
"115","Boulangerie Rainard","Commerce","3","Route de Saint Joseph","Nantes Erdre","Saint-Donatien","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2349123885969 , -1.54129270631707]"
"107","Super U St Jacques","Commerce","75","Boulevard Joliot Curie","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1938030862539 , -1.53073825436247]"
"105","Mairie Annexe Nantes Sud","Mairie annexe","69","Boulevard Joliot Curie","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1940947349268 , -1.53161011139837]"
"34","Le Fournil d'Aristide","Commerce","26","Rue Jean Jaurès","Hauts Pavés - Saint Félix","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2183146463099 , -1.56182083830304]"
"65","Café tabac le Bel air","Commerce","71","Rue de Bel Air","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2249905129991 , -1.55923983400867]"
"58","Carrefour City","Commerce","24","Rue des Hauts Pavés","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2232676975986 , -1.56349947899436]"
